x,y,z,C3_Frequency,C3_Maximum
-20.0, -20.0, 0.0, 13559814.5211, 0.4461
-20.0, -20.0, 20.00000000000003, 13559814.5211, 0.4461
-20.0, -20.0, 40.00000000000003, 13571590.1380, 0.0101
-20.0, 0.0, 0.0, 13559814.5211, 0.4461
-20.0, 0.0, 20.00000000000003, 13540961.4083, 0.1570
-20.0, 0.0, 40.00000000000003, 6803396.0285, 0.0716
-20.0, 20.0, 0.0, 13559814.5211, 0.4461
-20.0, 20.0, 20.00000000000003, 13564303.2752, 0.1554
-20.0, 20.0, 40.00000000000003, 13401831.5836, 0.0733
0.0, -20.0, 0.0, 13559814.5211, 0.4461
0.0, -20.0, 20.00000000000003, 13513209.1620, 0.1432
0.0, -20.0, 40.00000000000003, 13740982.4802, 0.0702
0.0, 0.0, 0.0, 13559814.5211, 0.4461
0.0, 0.0, 20.00000000000003, 13589264.4811, 0.1830
0.0, 0.0, 40.00000000000003, 13537524.3252, 0.0704
0.0, 20.0, 0.0, 13559814.5211, 0.4461
0.0, 20.0, 20.00000000000003, 13595268.8464, 0.1823
0.0, 20.0, 40.00000000000003, 13455554.6211, 0.0720
20.0, -20.0, 0.0, 13559814.5211, 0.4461
20.0, -20.0, 20.00000000000003, 13480684.7064, 0.1200
20.0, -20.0, 40.00000000000003, 13426197.8686, 0.0747
20.0, 0.0, 0.0, 13559814.5211, 0.4461
20.0, 0.0, 20.00000000000003, 13460459.8990, 0.1537
20.0, 0.0, 40.00000000000003, 13592342.9801, 0.0694
20.0, 20.0, 0.0, 13559814.5211, 0.4461
20.0, 20.0, 20.00000000000003, 13482199.2838, 0.1473
20.0, 20.0, 40.00000000000003, 13668204.3397, 0.0744
