x,y,z,CH3_Frequency,CH3_MAXIMUM
-20.0, -20.0, 0.0, 13566722.0641, 0.2300
-20.0, -20.0, 20.00000000000003, 13579827.7831, 0.1187
-20.0, -20.0, 40.00000000000003, 13439104.0597, 0.0690
-20.0, 0.0, 0.0, 13566012.0673, 0.2698
-20.0, 0.0, 20.00000000000003, 13588589.7657, 0.1326
-20.0, 0.0, 40.00000000000003, 13520038.6287, 0.0727
-20.0, 20.0, 0.0, 13594238.1345, 0.1776
-20.0, 20.0, 20.00000000000003, 13479517.4520, 0.1008
-20.0, 20.0, 40.00000000000003, 13642177.0641, 0.0610
0.0, -20.0, 0.0, 13554782.9406, 0.3205
0.0, -20.0, 20.00000000000003, 13526270.5536, 0.1491
0.0, -20.0, 40.00000000000003, 13518994.1868, 0.0796
0.0, 0.0, 0.0, 13549709.9692, 0.3697
0.0, 0.0, 20.00000000000003, 13552976.2548, 0.1645
0.0, 0.0, 40.00000000000003, 13528258.3575, 0.0856
0.0, 20.0, 0.0, 13564221.1372, 0.2534
0.0, 20.0, 20.00000000000003, 13619732.9294, 0.1262
0.0, 20.0, 40.00000000000003, 13532143.0686, 0.0718
20.0, -20.0, 0.0, 13590392.5191, 0.2733
20.0, -20.0, 20.00000000000003, 13594344.7526, 0.1352
20.0, -20.0, 40.00000000000003, 13582183.3098, 0.0750
20.0, 0.0, 0.0, 13556123.1533, 0.3189
20.0, 0.0, 20.00000000000003, 13522122.9733, 0.1492
20.0, 0.0, 40.00000000000003, 13481820.6075, 0.0794
20.0, 20.0, 0.0, 13535749.5174, 0.2164
20.0, 20.0, 20.00000000000003, 13528748.5908, 0.1144
20.0, 20.0, 40.00000000000003, 13525698.8278, 0.0662
