LECROYHDO6034,16324,Waveform
Segments,1,SegmentSize,1252
Segment,TrigTime,TimeSinceSegment1
#1,10-Jul-2024 13:26:12,0                 
Time,Ampl
-2.5009e-07,-0.0174
-2.4969e-07,-0.0173
-2.4929e-07,-0.0175
-2.4889e-07,-0.0174
-2.4849e-07,-0.0176
-2.4809e-07,-0.0173
-2.4769e-07,-0.0176
-2.4729e-07,-0.0175
-2.4689e-07,-0.0176
-2.4649e-07,-0.0172
-2.4609e-07,-0.0176
-2.4569e-07,-0.0172
-2.4529e-07,-0.0173
-2.4489e-07,-0.0167
-2.4449e-07,-0.0167
-2.4409e-07,-0.0167
-2.4369e-07,-0.0169
-2.4329e-07,-0.0166
-2.4289e-07,-0.0167
-2.4249e-07,-0.0164
-2.4209e-07,-0.0167
-2.4169e-07,-0.0164
-2.4129e-07,-0.0167
-2.4089e-07,-0.0166
-2.4049e-07,-0.0167
-2.4009e-07,-0.0169
-2.3969e-07,-0.0172
-2.3929e-07,-0.0171
-2.3889e-07,-0.0174
-2.3849e-07,-0.0174
-2.3809e-07,-0.0178
-2.3769e-07,-0.0173
-2.3729e-07,-0.0176
-2.3689e-07,-0.0172
-2.3649e-07,-0.0177
-2.3609e-07,-0.0171
-2.3569e-07,-0.0173
-2.3529e-07,-0.0169
-2.3489e-07,-0.0168
-2.3449e-07,-0.0163
-2.3409e-07,-0.0165
-2.3369e-07,-0.016
-2.3329e-07,-0.0168
-2.3289e-07,-0.0165
-2.3249e-07,-0.0169
-2.3209e-07,-0.0165
-2.3169e-07,-0.0165
-2.3129e-07,-0.0164
-2.3089e-07,-0.0166
-2.3049e-07,-0.0167
-2.3009e-07,-0.0168
-2.2969e-07,-0.0166
-2.2929e-07,-0.0172
-2.2889e-07,-0.017
-2.2849e-07,-0.0171
-2.2809e-07,-0.0172
-2.2769e-07,-0.0175
-2.2729e-07,-0.0171
-2.2689e-07,-0.0173
-2.2649e-07,-0.017
-2.2609e-07,-0.0172
-2.2569e-07,-0.0171
-2.2529e-07,-0.0173
-2.2489e-07,-0.0172
-2.2449e-07,-0.0169
-2.2409e-07,-0.0166
-2.2369e-07,-0.0166
-2.2329e-07,-0.0165
-2.2289e-07,-0.0166
-2.2249e-07,-0.016
-2.2209e-07,-0.0162
-2.2169e-07,-0.0162
-2.2129e-07,-0.0165
-2.2089e-07,-0.0162
-2.2049e-07,-0.0165
-2.2009e-07,-0.0163
-2.1969e-07,-0.0168
-2.1929e-07,-0.017
-2.1889e-07,-0.0168
-2.1849e-07,-0.0166
-2.1809e-07,-0.0169
-2.1769e-07,-0.0168
-2.1729e-07,-0.0175
-2.1689e-07,-0.0171
-2.1649e-07,-0.0174
-2.1609e-07,-0.017
-2.1569e-07,-0.017
-2.1529e-07,-0.0168
-2.1489e-07,-0.017
-2.1449e-07,-0.0169
-2.1409e-07,-0.0169
-2.1369e-07,-0.0164
-2.1329e-07,-0.0167
-2.1289e-07,-0.0165
-2.1249e-07,-0.0167
-2.1209e-07,-0.0164
-2.1169e-07,-0.0165
-2.1129e-07,-0.0163
-2.1089e-07,-0.0163
-2.1049e-07,-0.016
-2.1009e-07,-0.0164
-2.0969e-07,-0.0162
-2.0929e-07,-0.0165
-2.0889e-07,-0.0164
-2.0849e-07,-0.0168
-2.0809e-07,-0.0166
-2.0769e-07,-0.0168
-2.0729e-07,-0.0166
-2.0689e-07,-0.0169
-2.0649e-07,-0.0168
-2.0609e-07,-0.0168
-2.0569e-07,-0.0168
-2.0529e-07,-0.0168
-2.0489e-07,-0.0167
-2.0449e-07,-0.0168
-2.0409e-07,-0.0166
-2.0369e-07,-0.0166
-2.0329e-07,-0.0163
-2.0289e-07,-0.0162
-2.0249e-07,-0.0163
-2.0209e-07,-0.0165
-2.0169e-07,-0.0159
-2.0129e-07,-0.0161
-2.0089e-07,-0.0161
-2.0049e-07,-0.0165
-2.0009e-07,-0.0163
-1.9969e-07,-0.0166
-1.9929e-07,-0.0163
-1.9889e-07,-0.0159
-1.9849e-07,-0.0159
-1.9809e-07,-0.0163
-1.9769e-07,-0.016
-1.9729e-07,-0.016
-1.9689e-07,-0.016
-1.9649e-07,-0.0161
-1.9609e-07,-0.0165
-1.9569e-07,-0.017
-1.9529e-07,-0.0167
-1.9489e-07,-0.0168
-1.9449e-07,-0.0166
-1.9409e-07,-0.0165
-1.9369e-07,-0.0165
-1.9329e-07,-0.0169
-1.9289e-07,-0.0165
-1.9249e-07,-0.0162
-1.9209e-07,-0.0161
-1.9169e-07,-0.0162
