LECROYHDO6034,16324,Waveform
Segments,1,SegmentSize,1252
Segment,TrigTime,TimeSinceSegment1
#1,10-Jul-2024 13:26:50,0                 
Time,Ampl
-2.50124e-07,-0.0946
-2.49724e-07,-0.0948
-2.49324e-07,-0.0944
-2.48924e-07,-0.0944
-2.48524e-07,-0.0945
-2.48124e-07,-0.0946
-2.47724e-07,-0.0946
-2.47324e-07,-0.0946
-2.46924e-07,-0.095
-2.46524e-07,-0.095
-2.46124e-07,-0.095
-2.45724e-07,-0.095
-2.45324e-07,-0.0951
-2.44924e-07,-0.0951
-2.44524e-07,-0.0951
-2.44124e-07,-0.0954
-2.43724e-07,-0.0952
-2.43324e-07,-0.0952
-2.42924e-07,-0.0948
-2.42524e-07,-0.0952
-2.42124e-07,-0.095
-2.41724e-07,-0.095
-2.41324e-07,-0.0949
-2.40924e-07,-0.0947
-2.40524e-07,-0.0948
-2.40124e-07,-0.095
-2.39724e-07,-0.0945
-2.39324e-07,-0.0944
-2.38924e-07,-0.0941
-2.38524e-07,-0.0944
-2.38124e-07,-0.0943
-2.37724e-07,-0.0942
-2.37324e-07,-0.094
-2.36924e-07,-0.0942
-2.36524e-07,-0.0942
-2.36124e-07,-0.0944
-2.35724e-07,-0.0941
-2.35324e-07,-0.0945
-2.34924e-07,-0.0946
-2.34524e-07,-0.0946
-2.34124e-07,-0.0948
-2.33724e-07,-0.095
-2.33324e-07,-0.0948
-2.32924e-07,-0.0947
-2.32524e-07,-0.0948
-2.32124e-07,-0.0948
-2.31724e-07,-0.0946
-2.31324e-07,-0.0947
-2.30924e-07,-0.0943
-2.30524e-07,-0.0945
-2.30124e-07,-0.0939
-2.29724e-07,-0.0942
-2.29324e-07,-0.0938
-2.28924e-07,-0.0942
-2.28524e-07,-0.0938
-2.28124e-07,-0.0939
-2.27724e-07,-0.0936
-2.27324e-07,-0.0937
-2.26924e-07,-0.0937
-2.26524e-07,-0.0937
-2.26124e-07,-0.0933
-2.25724e-07,-0.0938
-2.25324e-07,-0.0932
-2.24924e-07,-0.0933
-2.24524e-07,-0.0932
-2.24124e-07,-0.0935
-2.23724e-07,-0.0935
-2.23324e-07,-0.0937
-2.22924e-07,-0.0937
-2.22524e-07,-0.0938
-2.22124e-07,-0.0934
-2.21724e-07,-0.0934
-2.21324e-07,-0.0933
-2.20924e-07,-0.0937
-2.20524e-07,-0.0933
-2.20124e-07,-0.0936
-2.19724e-07,-0.0931
-2.19324e-07,-0.0931
-2.18924e-07,-0.0931
-2.18524e-07,-0.0933
-2.18124e-07,-0.093
-2.17724e-07,-0.0932
-2.17324e-07,-0.0925
-2.16924e-07,-0.0924
-2.16524e-07,-0.0921
-2.16124e-07,-0.092
-2.15724e-07,-0.092
-2.15324e-07,-0.0922
-2.14924e-07,-0.0919
-2.14524e-07,-0.0924
-2.14124e-07,-0.0918
-2.13724e-07,-0.092
-2.13324e-07,-0.0917
-2.12924e-07,-0.092
-2.12524e-07,-0.092
-2.12124e-07,-0.0921
-2.11724e-07,-0.092
-2.11324e-07,-0.0923
-2.10924e-07,-0.092
-2.10524e-07,-0.0922
-2.10124e-07,-0.0919
-2.09724e-07,-0.0921
-2.09324e-07,-0.0913
-2.08924e-07,-0.0916
-2.08524e-07,-0.0912
-2.08124e-07,-0.0911
-2.07724e-07,-0.0909
-2.07324e-07,-0.091
-2.06924e-07,-0.0909
-2.06524e-07,-0.0908
-2.06124e-07,-0.0905
-2.05724e-07,-0.0904
-2.05324e-07,-0.09
-2.04924e-07,-0.0904
-2.04524e-07,-0.09
-2.04124e-07,-0.0902
-2.03724e-07,-0.0901
-2.03324e-07,-0.0906
-2.02924e-07,-0.0902
-2.02524e-07,-0.0904
-2.02124e-07,-0.0902
-2.01724e-07,-0.0906
-2.01324e-07,-0.0901
-2.00924e-07,-0.0902
-2.00524e-07,-0.0897
-2.00124e-07,-0.0901
-1.99724e-07,-0.0897
-1.99324e-07,-0.0901
-1.98924e-07,-0.0899
-1.98524e-07,-0.0898
-1.98124e-07,-0.0896
-1.97724e-07,-0.0895
